2026-06-10 03:31:46 install findutils:arm64 <none> 4.10.0-3build2
2026-06-10 03:31:46 status half-installed findutils:arm64 4.10.0-3build2
2026-06-10 03:31:46 status unpacked findutils:arm64 4.10.0-3build2
2026-06-10 03:31:46 install gcc-16-base:arm64 <none> 16-20260322-1ubuntu1
2026-06-10 03:31:46 status half-installed gcc-16-base:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:46 status unpacked gcc-16-base:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:46 install gnu-coreutils:arm64 <none> 9.7-3ubuntu2
2026-06-10 03:31:46 status half-installed gnu-coreutils:arm64 9.7-3ubuntu2
2026-06-10 03:31:46 status unpacked gnu-coreutils:arm64 9.7-3ubuntu2
2026-06-10 03:31:46 install grep:arm64 <none> 3.12-1
2026-06-10 03:31:46 status half-installed grep:arm64 3.12-1
2026-06-10 03:31:46 status unpacked grep:arm64 3.12-1
2026-06-10 03:31:46 install gzip:arm64 <none> 1.14-1~exp2ubuntu1
2026-06-10 03:31:46 status half-installed gzip:arm64 1.14-1~exp2ubuntu1
2026-06-10 03:31:46 status unpacked gzip:arm64 1.14-1~exp2ubuntu1
2026-06-10 03:31:46 install hostname:arm64 <none> 3.25build1
2026-06-10 03:31:46 status half-installed hostname:arm64 3.25build1
2026-06-10 03:31:46 status unpacked hostname:arm64 3.25build1
2026-06-10 03:31:46 install init-system-helpers:all <none> 1.69
2026-06-10 03:31:46 status half-installed init-system-helpers:all 1.69
2026-06-10 03:31:46 status unpacked init-system-helpers:all 1.69
2026-06-10 03:31:46 install libacl1:arm64 <none> 2.3.2-2
2026-06-10 03:31:46 status half-installed libacl1:arm64 2.3.2-2
2026-06-10 03:31:46 status unpacked libacl1:arm64 2.3.2-2
2026-06-10 03:31:46 install libattr1:arm64 <none> 1:2.5.2-4
2026-06-10 03:31:46 status half-installed libattr1:arm64 1:2.5.2-4
2026-06-10 03:31:46 status unpacked libattr1:arm64 1:2.5.2-4
2026-06-10 03:31:46 install libaudit-common:all <none> 1:4.1.2-1build1
2026-06-10 03:31:46 status half-installed libaudit-common:all 1:4.1.2-1build1
2026-06-10 03:31:46 status unpacked libaudit-common:all 1:4.1.2-1build1
2026-06-10 03:31:46 install libaudit1:arm64 <none> 1:4.1.2-1build1
2026-06-10 03:31:46 status half-installed libaudit1:arm64 1:4.1.2-1build1
2026-06-10 03:31:46 status unpacked libaudit1:arm64 1:4.1.2-1build1
2026-06-10 03:31:46 install libblkid1:arm64 <none> 2.41.3-3ubuntu2
2026-06-10 03:31:46 status half-installed libblkid1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:46 status unpacked libblkid1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:46 install libbsd0:arm64 <none> 0.12.2-2build2
2026-06-10 03:31:46 status half-installed libbsd0:arm64 0.12.2-2build2
2026-06-10 03:31:46 status unpacked libbsd0:arm64 0.12.2-2build2
2026-06-10 03:31:46 install libbz2-1.0:arm64 <none> 1.0.8-6build2
2026-06-10 03:31:46 status half-installed libbz2-1.0:arm64 1.0.8-6build2
2026-06-10 03:31:46 status unpacked libbz2-1.0:arm64 1.0.8-6build2
2026-06-10 03:31:46 install libc-bin:arm64 <none> 2.43-2ubuntu2
2026-06-10 03:31:46 status half-installed libc-bin:arm64 2.43-2ubuntu2
2026-06-10 03:31:46 status unpacked libc-bin:arm64 2.43-2ubuntu2
2026-06-10 03:31:47 install libc-gconv-modules-extra:arm64 <none> 2.43-2ubuntu2
2026-06-10 03:31:47 status half-installed libc-gconv-modules-extra:arm64 2.43-2ubuntu2
2026-06-10 03:31:47 status unpacked libc-gconv-modules-extra:arm64 2.43-2ubuntu2
2026-06-10 03:31:47 upgrade libc6:arm64 2.43-2ubuntu2 2.43-2ubuntu2
2026-06-10 03:31:47 status half-configured libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:47 status unpacked libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:47 status half-installed libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:47 status unpacked libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:47 install libcap-ng0:arm64 <none> 0.8.5-4build5
2026-06-10 03:31:47 status half-installed libcap-ng0:arm64 0.8.5-4build5
2026-06-10 03:31:47 status unpacked libcap-ng0:arm64 0.8.5-4build5
2026-06-10 03:31:47 install libcom-err2:arm64 <none> 1.47.2-3ubuntu4
